ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
10408074	0.0000637	1.22e-07	14.309188	8.3082492	1.76533	Hist1h4m///Hist1h4b///Hist1h4a///Hist1h4n///Hist1h4k///Hist1h4j///Hist1h4i///Hist1h4f///Hist1h4d///Hist1h4c///Hist1h4h	histone cluster 1, H4m///histone cluster 1, H4b///histone cluster 1, H4a///histone cluster 1, H4n///histone cluster 1, H4k///histone cluster 1, H4j///histone cluster 1, H4i///histone cluster 1, H4f///histone cluster 1, H4d///histone cluster 1, H4c///histone cluster 1, H4h
10474381	0.0000637	1.23e-07	14.306039	8.3064034	2.071275	Kif18a	kinesin family member 18A
10548086	0.0000637	1.24e-07	14.293909	8.2992901	1.8986925	Rad51ap1	RAD51 associated protein 1
10420877	0.0000645	1.28e-07	14.2398	8.2674712	3.0789225	Esco2	establishment of sister chromatid cohesion N-acetyltransferase 2
10557156	0.0000645	1.29e-07	14.224327	8.2583452	2.2999825	Plk1	polo-like kinase 1
10540738	0.0000645	1.31e-07	14.207074	8.2481559	2.48736	Fancd2	Fanconi anemia, complementation group D2
10453512	0.0000665	1.36e-07	14.13588	8.2059538	1.26635	Kpna2	karyopherin (importin) alpha 2
10544501	0.0000681	1.42e-07	14.0753	8.169844	1.4429	Ezh2	enhancer of zeste 2 polycomb repressive complex 2 subunit
10403957	0.0000692	1.48e-07	14.008802	8.129994	1.8149825	Hist1h4m///Hist1h4b///Hist1h4a///Hist1h4n///Hist1h4k///Hist1h4j///Hist1h4i///Hist1h4f///Hist1h4d///Hist1h4c///Hist1h4h	histone cluster 1, H4m///histone cluster 1, H4b///histone cluster 1, H4a///histone cluster 1, H4n///histone cluster 1, H4k///histone cluster 1, H4j///histone cluster 1, H4i///histone cluster 1, H4f///histone cluster 1, H4d///histone cluster 1, H4c///histone cluster 1, H4h
10408092	0.0000692	1.48e-07	14.008802	8.129994	1.8149825	Hist1h4m///Hist1h4b///Hist1h4a///Hist1h4n///Hist1h4k///Hist1h4j///Hist1h4i///Hist1h4f///Hist1h4d///Hist1h4c///Hist1h4h	histone cluster 1, H4m///histone cluster 1, H4b///histone cluster 1, H4a///histone cluster 1, H4n///histone cluster 1, H4k///histone cluster 1, H4j///histone cluster 1, H4i///histone cluster 1, H4f///histone cluster 1, H4d///histone cluster 1, H4c///histone cluster 1, H4h
10346365	0.0000733	1.59e-07	13.898215	8.0632252	2.6725925	Sgol2a	shugoshin-like 2a (S. pombe)
10352048	0.0000751	1.65e-07	13.840862	8.0283506	2.5781875	Exo1	exonuclease 1
10478160	0.0000754	1.68e-07	13.807136	8.0077635	1.3141825	Fam83d	family with sequence similarity 83, member D
10564978	0.0000754	1.70e-07	13.795411	8.0005925	1.799415	Blm	Bloom syndrome, RecQ helicase-like
10568714	0.0000808	1.84e-07	13.668695	7.9226343	2.99358	Mki67	antigen identified by monoclonal antibody Ki 67
10355329	0.0000808	1.86e-07	13.649391	7.9106837	1.91305	Bard1	BRCA1 associated RING domain 1
10521090	0.0000812	1.92e-07	13.606837	7.8842706	1.848045	Tacc3	transforming, acidic coiled-coil containing protein 3
10515431	0.0000812	1.92e-07	13.605822	7.8836394	2.8738825	Kif2c	kinesin family member 2C
10467637	0.0000853	2.04e-07	13.512108	7.8251264	1.793315	Arhgap19	Rho GTPase activating protein 19
10585282	0.0000863	2.09e-07	-13.476682	7.8028844	-1.369985		
10404067	0.0000865	2.12e-07	13.449867	7.7860038	1.73385	Hist1h4m///Hist1h4b///Hist1h4a///Hist1h4n///Hist1h4k///Hist1h4j///Hist1h4i///Hist1h4f///Hist1h4d///Hist1h4c///Hist1h4h	histone cluster 1, H4m///histone cluster 1, H4b///histone cluster 1, H4a///histone cluster 1, H4n///histone cluster 1, H4k///histone cluster 1, H4j///histone cluster 1, H4i///histone cluster 1, H4f///histone cluster 1, H4d///histone cluster 1, H4c///histone cluster 1, H4h
10369815	0.0000865	2.16e-07	13.422529	7.7687534	2.68108	Cdk1	cyclin-dependent kinase 1
10408531	0.0000865	2.18e-07	13.41331	7.7629275	1.194235	Gmds	GDP-mannose 4, 6-dehydratase
10605674	0.0000865	2.19e-07	13.404084	7.7570921	1.814795	Pola1	polymerase (DNA directed), alpha 1
10487577	0.0000889	2.28e-07	13.343907	7.718917	2.1059775	Ckap2l	cytoskeleton associated protein 2-like
10428412	0.0000889	2.30e-07	13.329092	7.7094883	1.1739575	Nudcd1	NudC domain containing 1
10513061	0.0000924	2.42e-07	13.251073	7.6596346	1.47017	Ctnnal1	catenin (cadherin associated protein), alpha-like 1
10505931	0.0000924	2.46e-07	13.227025	7.6441999	1.31913	Ift74	intraflagellar transport 74
10365578	0.0000924	2.47e-07	13.223103	7.6416797	1.38793	Nup37	nucleoporin 37
10601011	0.0000935	2.52e-07	13.190194	7.6204986	3.5267425	Kif4	kinesin family member 4
10489078	0.0000984	2.68e-07	13.099659	7.5619146	1.2998275	Dsn1	DSN1 homolog, MIS12 kinetochore complex component
10409190	0.0000996	2.76e-07	13.05706	7.5341897	2.2817975	Cenpp	centromere protein P
10607497	0.0000996	2.77e-07	13.05127	7.5304134	1.1353375	Suclg2	succinate-Coenzyme A ligase, GDP-forming, beta subunit
10427166	0.0001	2.84e-07	13.017982	7.5086656	1.54508	Espl1	extra spindle pole bodies 1, separase
10465861	0.0001	2.84e-07	13.015382	7.5069641	1.822325	Incenp	inner centromere protein
10571302	0.0001003	2.88e-07	-12.996842	7.4948213	-1.0368575	Saraf	store-operated calcium entry-associated regulatory factor
10389134	0.0001009	2.94e-07	12.965966	7.4745558	1.641005	Slfn9	schlafen 9
10587508	0.0001009	2.95e-07	12.959292	7.4701678	3.14007	Ttk	Ttk protein kinase
10361375	0.0001056	3.12e-07	12.878798	7.417045	1.79689	Fbxo5	F-box protein 5
10487480	0.0001057	3.16e-07	12.860206	7.4047218	3.48161	Bub1	BUB1, mitotic checkpoint serine/threonine kinase
10601705	0.0001057	3.18e-07	12.850552	7.398315	2.478735	Cenpi	centromere protein I
10365574	0.0001068	3.24e-07	12.82222	7.3794812	2.30858	Pmch	pro-melanin-concentrating hormone
10497878	0.0001077	3.30e-07	12.796726	7.3624935	4.020235	Il2	interleukin 2
10406111	0.0001083	3.35e-07	-12.775314	7.3481964	-1.2402675	Slc12a7	solute carrier family 12, member 7
10408085	0.0001087	3.44e-07	12.735087	7.3212639	1.4362525	Hist1h2al///Hist1h2ao///Hist2h2ab///Hist2h2aa2///Hist1h2ai///Hist2h2ac///Hist1h2af///Hist1h2ab///Hist1h2ap///Hist1h2an///Hist1h2ak///Hist1h2ah///Hist1h2ag///Hist1h2ae///Hist1h2ad///Hist1h2ac///Hist3h2a///H2afj///H2afx///Hist2h2aa1///Hist1h3d	histone cluster 1, H2al///histone cluster 1, H2ao///histone cluster 2, H2ab///histone cluster 2, H2aa2///histone cluster 1, H2ai///histone cluster 2, H2ac///histone cluster 1, H2af///histone cluster 1, H2ab///histone cluster 1, H2ap///histone cluster 1, H2an///histone cluster 1, H2ak///histone cluster 1, H2ah///histone cluster 1, H2ag///histone cluster 1, H2ae///histone cluster 1, H2ad///histone cluster 1, H2ac///histone cluster 3, H2a///H2A histone family, member J///H2A histone family, member X///histone cluster 2, H2aa1///histone cluster 1, H3d
10459755	0.0001087	3.51e-07	12.708255	7.3032461	1.725695	Ska1	spindle and kinetochore associated complex subunit 1
10474159	0.0001087	3.52e-07	12.705041	7.301085	1.105845	Apip	APAF1 interacting protein
10408118	0.0001087	3.54e-07	12.696875	7.2955917	1.39191	Hist1h2al///Hist1h2ao///Hist2h2ab///Hist2h2aa2///Hist1h2ai///Hist2h2ac///Hist1h2af///Hist1h2ab///Hist1h2ap///Hist1h2an///Hist1h2ak///Hist1h2ah///Hist1h2ag///Hist1h2ae///Hist1h2ad///Hist1h2ac///Hist1h2aa///Hist3h2a///H2afj///H2afx///Hist2h2aa1///Hist1h3d	histone cluster 1, H2al///histone cluster 1, H2ao///histone cluster 2, H2ab///histone cluster 2, H2aa2///histone cluster 1, H2ai///histone cluster 2, H2ac///histone cluster 1, H2af///histone cluster 1, H2ab///histone cluster 1, H2ap///histone cluster 1, H2an///histone cluster 1, H2ak///histone cluster 1, H2ah///histone cluster 1, H2ag///histone cluster 1, H2ae///histone cluster 1, H2ad///histone cluster 1, H2ac///histone cluster 1, H2aa///histone cluster 3, H2a///H2A histone family, member J///H2A histone family, member X///histone cluster 2, H2aa1///histone cluster 1, H3d
10361995	0.0001087	3.54e-07	12.693819	7.2935345	2.072605	Mtfr2	mitochondrial fission regulator 2
10576883	0.0001087	3.55e-07	12.692736	7.2928059	3.188555	Shcbp1	Shc SH2-domain binding protein 1
10360367	0.000111	3.65e-07	-12.649999	7.2639797	-2.326535	LOC102639543	signaling mucin HKR1-like
10408094	0.0001116	3.70e-07	12.630348	7.250689	1.3752275	Hist1h2al///Hist1h2ao///Hist2h2ab///Hist2h2aa2///Hist1h2ai///Hist2h2ac///Hist1h2af///Hist1h2ab///Hist1h2ap///Hist1h2an///Hist1h2ak///Hist1h2ah///Hist1h2ag///Hist1h2ae///Hist1h2ad///Hist1h2ac///Hist1h2aa///Hist3h2a///H2afj///H2afx///Hist2h2aa1///Hist1h3d	histone cluster 1, H2al///histone cluster 1, H2ao///histone cluster 2, H2ab///histone cluster 2, H2aa2///histone cluster 1, H2ai///histone cluster 2, H2ac///histone cluster 1, H2af///histone cluster 1, H2ab///histone cluster 1, H2ap///histone cluster 1, H2an///histone cluster 1, H2ak///histone cluster 1, H2ah///histone cluster 1, H2ag///histone cluster 1, H2ae///histone cluster 1, H2ad///histone cluster 1, H2ac///histone cluster 1, H2aa///histone cluster 3, H2a///H2A histone family, member J///H2A histone family, member X///histone cluster 2, H2aa1///histone cluster 1, H3d
10496417	0.0001119	3.74e-07	12.615101	7.2403609	1.2892825	Trmt10a	tRNA methyltransferase 10A
10554325	0.000112	3.81e-07	12.588241	7.2221318	2.3217725	Ticrr	TOPBP1-interacting checkpoint and replication regulator
10351689	0.000112	3.84e-07	-12.580492	7.2168648	-1.05435	Gm10521	predicted gene 10521
10408111	0.000112	3.87e-07	12.56786	7.2082713	1.3542375	Hist1h2al///Hist1h2ao///Hist2h2ab///Hist2h2aa2///Hist1h2ai///Hist2h2ac///Hist1h2af///Hist1h2ab///Hist1h2ap///Hist1h2an///Hist1h2ak///Hist1h2ah///Hist1h2ag///Hist1h2ae///Hist1h2ad///Hist1h2ac///Hist1h2aa///Hist3h2a///H2afj///H2afx///Hist2h2aa1///Hist1h3d	histone cluster 1, H2al///histone cluster 1, H2ao///histone cluster 2, H2ab///histone cluster 2, H2aa2///histone cluster 1, H2ai///histone cluster 2, H2ac///histone cluster 1, H2af///histone cluster 1, H2ab///histone cluster 1, H2ap///histone cluster 1, H2an///histone cluster 1, H2ak///histone cluster 1, H2ah///histone cluster 1, H2ag///histone cluster 1, H2ae///histone cluster 1, H2ad///histone cluster 1, H2ac///histone cluster 1, H2aa///histone cluster 3, H2a///H2A histone family, member J///H2A histone family, member X///histone cluster 2, H2aa1///histone cluster 1, H3d
10606071	0.000112	3.88e-07	12.564898	7.2062547	2.371765	Ercc6l	excision repair cross-complementing rodent repair deficiency complementation group 6 like
10487340	0.000112	3.94e-07	12.543233	7.1914897	2.0783475	Ncaph	non-SMC condensin I complex, subunit H
10598389	0.000112	3.95e-07	-12.539855	7.1891848	-1.1487225	Wdr45	WD repeat domain 45
10403955	0.000112	3.97e-07	12.531582	7.1835371	1.3551675	Hist1h2al///Hist1h2ao///Hist2h2ab///Hist2h2aa2///Hist1h2ai///Hist2h2ac///Hist1h2af///Hist1h2ab///Hist1h2ap///Hist1h2an///Hist1h2ak///Hist1h2ah///Hist1h2ag///Hist1h2ae///Hist1h2ad///Hist1h2ac///Hist1h2aa///Hist3h2a///H2afj///H2afx///Hist2h2aa1///Hist1h3d	histone cluster 1, H2al///histone cluster 1, H2ao///histone cluster 2, H2ab///histone cluster 2, H2aa2///histone cluster 1, H2ai///histone cluster 2, H2ac///histone cluster 1, H2af///histone cluster 1, H2ab///histone cluster 1, H2ap///histone cluster 1, H2an///histone cluster 1, H2ak///histone cluster 1, H2ah///histone cluster 1, H2ag///histone cluster 1, H2ae///histone cluster 1, H2ad///histone cluster 1, H2ac///histone cluster 1, H2aa///histone cluster 3, H2a///H2A histone family, member J///H2A histone family, member X///histone cluster 2, H2aa1///histone cluster 1, H3d
10404045	0.000112	4.02e-07	12.513078	7.1708906	1.35356	Hist1h2al///Hist1h2ao///Hist2h2ab///Hist2h2aa2///Hist1h2ai///Hist2h2ac///Hist1h2af///Hist1h2ab///Hist1h2ap///Hist1h2an///Hist1h2ak///Hist1h2ah///Hist1h2ag///Hist1h2ae///Hist1h2ad///Hist1h2ac///Hist1h2aa///Hist3h2a///H2afj///H2afx///Hist2h2aa1///Hist1h3d	histone cluster 1, H2al///histone cluster 1, H2ao///histone cluster 2, H2ab///histone cluster 2, H2aa2///histone cluster 1, H2ai///histone cluster 2, H2ac///histone cluster 1, H2af///histone cluster 1, H2ab///histone cluster 1, H2ap///histone cluster 1, H2an///histone cluster 1, H2ak///histone cluster 1, H2ah///histone cluster 1, H2ag///histone cluster 1, H2ae///histone cluster 1, H2ad///histone cluster 1, H2ac///histone cluster 1, H2aa///histone cluster 3, H2a///H2A histone family, member J///H2A histone family, member X///histone cluster 2, H2aa1///histone cluster 1, H3d
10384322	0.000112	4.03e-07	12.50978	7.1686343	1.244935	Hus1	HUS1 checkpoint clamp component
10600797	0.0001128	4.12e-07	12.479535	7.1479127	1.248495	Apoo-ps///Apoo	apolipoprotein O, pseudogene///apolipoprotein O
10429100	0.0001128	4.15e-07	-12.469679	7.1411478	-2.0642775	Lrrc6	leucine rich repeat containing 6 (testis)
10573615	0.0001128	4.16e-07	12.465992	7.1386157	1.604635	Orc6	origin recognition complex, subunit 6
10546538	0.0001135	4.21e-07	12.44735	7.1258	1.1210025	Suclg2	succinate-Coenzyme A ligase, GDP-forming, beta subunit
10582981	0.0001148	4.29e-07	12.420514	7.107314	1.3392325	Tfdp1	transcription factor Dp 1
10515257	0.000118	4.48e-07	12.361094	7.0662249	2.067095	Rad54l	RAD54 like (S. cerevisiae)
10521927	0.000118	4.48e-07	12.360829	7.0660411	1.274525	Tbc1d19	TBC1 domain family, member 19
10372687	0.0001181	4.56e-07	12.336537	7.0491799	1.159225	Nup107	nucleoporin 107
10404026	0.0001181	4.56e-07	12.336512	7.0491628	1.3933175	Hist1h2al///Hist1h2ao///Hist2h2ab///Hist2h2aa2///Hist1h2ai///Hist2h2ac///Hist1h2af///Hist1h2ab///Hist1h2ap///Hist1h2an///Hist1h2ak///Hist1h2ah///Hist1h2ag///Hist1h2ae///Hist1h2ad///Hist1h2ac///Hist1h2aa///Hist3h2a///H2afj///H2afx///Hist2h2aa1///Hist1h3d	histone cluster 1, H2al///histone cluster 1, H2ao///histone cluster 2, H2ab///histone cluster 2, H2aa2///histone cluster 1, H2ai///histone cluster 2, H2ac///histone cluster 1, H2af///histone cluster 1, H2ab///histone cluster 1, H2ap///histone cluster 1, H2an///histone cluster 1, H2ak///histone cluster 1, H2ah///histone cluster 1, H2ag///histone cluster 1, H2ae///histone cluster 1, H2ad///histone cluster 1, H2ac///histone cluster 1, H2aa///histone cluster 3, H2a///H2A histone family, member J///H2A histone family, member X///histone cluster 2, H2aa1///histone cluster 1, H3d
10522051	0.0001181	4.58e-07	-12.328929	7.0438914	-1.32212	Klf3	Kruppel-like factor 3 (basic)
10408072	0.0001189	4.68e-07	12.300914	7.0243875	1.3724325	Hist1h2al///Hist1h2ao///Hist2h2ab///Hist2h2aa2///Hist1h2ai///Hist2h2ac///Hist1h2af///Hist1h2ab///Hist1h2ap///Hist1h2an///Hist1h2ak///Hist1h2ah///Hist1h2ag///Hist1h2ae///Hist1h2ad///Hist1h2ac///Hist1h2aa///Hist3h2a///H2afj///H2afx///Hist2h2aa1///Hist1h3d	histone cluster 1, H2al///histone cluster 1, H2ao///histone cluster 2, H2ab///histone cluster 2, H2aa2///histone cluster 1, H2ai///histone cluster 2, H2ac///histone cluster 1, H2af///histone cluster 1, H2ab///histone cluster 1, H2ap///histone cluster 1, H2an///histone cluster 1, H2ak///histone cluster 1, H2ah///histone cluster 1, H2ag///histone cluster 1, H2ae///histone cluster 1, H2ad///histone cluster 1, H2ac///histone cluster 1, H2aa///histone cluster 3, H2a///H2A histone family, member J///H2A histone family, member X///histone cluster 2, H2aa1///histone cluster 1, H3d
10392284	0.0001189	4.68e-07	12.299003	7.0230553	1.173675	Kpna2	karyopherin (importin) alpha 2
10508151	0.0001198	4.75e-07	12.278494	7.008743	2.248055	Clspn	claspin
10594426	0.0001202	4.80e-07	12.264315	6.9988331	2.38549	Zwilch	zwilch kinetochore protein
10521731	0.0001202	4.83e-07	12.254695	6.9921021	2.82293	Ncapg	non-SMC condensin I complex, subunit G
10427628	0.0001211	4.90e-07	-12.234219	6.9777567	-2.3446975	Il7r	interleukin 7 receptor
10474902	0.0001212	4.94e-07	12.22336	6.9701376	2.3657625	Rad51	RAD51 recombinase
10524229	0.0001223	5.04e-07	-12.194855	6.9501029	-2.2952475	A630023P12Rik	RIKEN cDNA A630023P12 gene
10396068	0.0001223	5.05e-07	12.192197	6.9482322	2.8839275	Lrr1	leucine rich repeat protein 1
10495574	0.0001225	5.13e-07	12.170824	6.9331731	1.203875	Sass6	SAS-6 centriolar assembly protein
10479811	0.0001225	5.19e-07	12.154708	6.9217988	1.99082	Mcm10	minichromosome maintenance 10 replication initiation factor
10410743	0.0001225	5.20e-07	12.153958	6.9212695	1.4479375	Slf1	SMC5-SMC6 complex localization factor 1
10521136	0.0001225	5.20e-07	12.152027	6.919905	1.2232625	Whsc1	Wolf-Hirschhorn syndrome candidate 1 (human)
10599554	0.0001229	5.26e-07	12.13752	6.9096499	1.238505	Rbmx2	RNA binding motif protein, X-linked 2
10541729	0.0001229	5.29e-07	12.129505	6.9039782	1.8575625	Cdca3	cell division cycle associated 3
10512236	0.0001254	5.48e-07	12.080798	6.8694226	1.29585	Kif24	kinesin family member 24
10585417	0.0001254	5.50e-07	12.075273	6.8654934	1.106915	Idh3a	isocitrate dehydrogenase 3 (NAD+) alpha
10424188	0.0001254	5.50e-07	12.074803	6.8651592	1.47285	Mtbp	Mdm2, transformed 3T3 cell double minute p53 binding protein
10462632	0.0001277	5.64e-07	12.0408	6.8409325	1.89007	Kif20b	kinesin family member 20B
10494757	0.0001289	5.75e-07	-12.014342	6.8220297	-1.5645875	Gm12474	predicted gene 12474
10391461	0.0001289	5.83e-07	11.995852	6.8087927	1.9956975	Brca1	breast cancer 1, early onset
10478572	0.0001289	5.84e-07	11.994364	6.8077265	2.39128	Ube2c	ubiquitin-conjugating enzyme E2C
10373918	0.0001289	5.84e-07	11.993625	6.8071971	2.590685	Lif	leukemia inhibitory factor
10379363	0.0001378	6.28e-07	11.89425	6.7356599	1.772435	Atad5	ATPase family, AAA domain containing 5
10582599	0.0001378	6.32e-07	11.886011	6.7296999	1.2554775	Nup133	nucleoporin 133
10508996	0.0001381	6.43e-07	11.861772	6.712139	1.25888	Aunip	aurora kinase A and ninein interacting protein
10368748	0.0001381	6.46e-07	11.856337	6.7081967	0.93905	Amd2///Amd1	S-adenosylmethionine decarboxylase 2///S-adenosylmethionine decarboxylase 1
10363575	0.0001381	6.48e-07	11.851118	6.7044085	2.2141375	Dna2	DNA replication helicase/nuclease 2
10368508	0.0001381	6.48e-07	11.850867	6.7042264	1.79375	Cenpw	centromere protein W
10407467	0.0001449	6.84e-07	11.777944	6.6511092	1.222005	Akr1e1	aldo-keto reductase family 1, member E1
10399087	0.0001484	7.06e-07	11.737166	6.6212517	2.728505	Ncapg2	non-SMC condensin II complex, subunit G2
10405185	0.000149	7.12e-07	11.724594	6.6120242	1.4945375	Cks2	CDC28 protein kinase regulatory subunit 2
10591556	0.0001501	7.22e-07	11.706549	6.5987608	2.1496375	Spc24	SPC24, NDC80 kinetochore complex component, homolog (S. cerevisiae)
10535586	0.0001507	7.35e-07	-11.683071	6.5814717	-0.938475	Smurf1	SMAD specific E3 ubiquitin protein ligase 1
10538890	0.0001507	7.37e-07	11.679567	6.5788881	1.54393	Notch4///Sympk	notch 4///symplekin
